sample5,,
Wavelength (nm),Abs,
650,0.077393129,
649.8499756,0.077422425,
649.7000122,0.077304043,
649.5499878,0.077294856,
649.4000244,0.077455096,
649.25,0.077315979,
649.0999756,0.077397175,
648.9500122,0.077439964,
648.7999878,0.077433899,
648.6500244,0.07741902,
648.5,0.077323437,
648.3499756,0.077455558,
648.2000122,0.077569924,
648.0499878,0.077446528,
647.9000244,0.077409767,
647.75,0.077422701,
647.5999756,0.077547863,
647.4500122,0.077488326,
647.2999878,0.077557862,
647.1500244,0.077622049,
647,0.077551425,
646.8499756,0.077444263,
646.7000122,0.077595495,
646.5499878,0.07762254,
646.4000244,0.077701509,
646.25,0.077640556,
646.0999756,0.077700019,
645.9500122,0.077788353,
645.7999878,0.077829845,
645.6500244,0.077966429,
645.5,0.077864997,
645.3499756,0.077769436,
645.2000122,0.078048959,
645.0499878,0.078018814,
644.9000244,0.07780198,
644.75,0.078016557,
644.5999756,0.077950418,
644.4500122,0.078072041,
644.2999878,0.077939264,
644.1500244,0.078085616,
644,0.077929728,
643.8499756,0.078057602,
643.7000122,0.07799945,
643.5499878,0.078074366,
643.4000244,0.078104824,
643.25,0.078037836,
643.0999756,0.078115173,
642.9500122,0.078181647,
642.7999878,0.078209631,
642.6500244,0.078115977,
642.5,0.078176536,
642.3499756,0.078181304,
642.2000122,0.07825169,
642.0499878,0.078243166,
641.9000244,0.078234397,
641.75,0.078273512,
641.5999756,0.078304358,
641.4500122,0.078304425,
641.2999878,0.07824757,
641.1500244,0.078282349,
641,0.078398429,
640.8499756,0.078356102,
640.7000122,0.078289635,
640.5499878,0.078308918,
640.4000244,0.078416191,
640.25,0.078416534,
640.0999756,0.078358829,
639.9500122,0.078422733,
639.7999878,0.078401804,
639.6500244,0.078465,
639.5,0.078574456,
639.3499756,0.078489438,
639.2000122,0.078585997,
639.0499878,0.078534506,
638.9000244,0.078603089,
638.75,0.07857883,
638.5999756,0.078618631,
638.4500122,0.078588851,
638.2999878,0.078657165,
638.1500244,0.078669079,
638,0.078704044,
637.8499756,0.078725182,
637.7000122,0.078615345,
637.5499878,0.078735881,
637.4000244,0.078720242,
637.25,0.078763254,
637.0999756,0.07880301,
636.9500122,0.078879088,
636.7999878,0.078808255,
636.6500244,0.078654587,
636.5,0.079020783,
636.3499756,0.078834482,
636.2000122,0.078856424,
636.0499878,0.078964084,
635.9000244,0.078830443,
635.75,0.078904793,
635.5999756,0.078996815,
635.4500122,0.078923479,
635.2999878,0.079039752,
635.1500244,0.078991845,
635,0.079280265,
634.8499756,0.079154886,
634.7000122,0.079054788,
634.5499878,0.079102799,
634.4000244,0.079167187,
634.25,0.079183459,
634.0999756,0.079050533,
633.9500122,0.079313107,
633.7999878,0.079216763,
633.6500244,0.079348192,
633.5,0.079265691,
633.3499756,0.079329051,
633.2000122,0.079430737,
633.0499878,0.07944037,
632.9000244,0.079370283,
632.75,0.079394713,
632.5999756,0.079356641,
632.4500122,0.079477109,
632.2999878,0.079504587,
632.1500244,0.079505272,
632,0.079576932,
631.8499756,0.079516061,
631.7000122,0.079613745,
631.5499878,0.079567671,
631.4000244,0.079689376,
631.25,0.079697147,
631.0999756,0.079755031,
630.9500122,0.079714194,
630.7999878,0.079732575,
630.6500244,0.079754718,
630.5,0.079940386,
630.3499756,0.079934381,
630.2000122,0.079975612,
630.0499878,0.079839394,
629.9000244,0.079912387,
629.75,0.0800796,
629.5999756,0.080076173,
629.4500122,0.080102637,
629.2999878,0.080139212,
629.1500244,0.080150142,
629,0.080107115,
628.8499756,0.080079883,
628.7000122,0.080180496,
628.5499878,0.080169104,
628.4000244,0.08025451,
628.25,0.080175266,
628.0999756,0.080259115,
627.9500122,0.080247536,
627.7999878,0.080466002,
627.6500244,0.080421358,
627.5,0.080445409,
627.3499756,0.080486596,
627.2000122,0.080549508,
627.0499878,0.080712572,
626.9000244,0.080664814,
626.75,0.080590203,
626.5999756,0.08065737,
626.4500122,0.080849253,
626.2999878,0.080741063,
626.1500244,0.080736354,
626,0.080754809,
625.8499756,0.080800079,
625.7000122,0.080851093,
625.5499878,0.081029966,
625.4000244,0.080927871,
625.25,0.080984235,
625.0999756,0.081069835,
624.9500122,0.081141382,
624.7999878,0.081157446,
624.6500244,0.081270359,
624.5,0.081100382,
624.3499756,0.08130426,
624.2000122,0.081265584,
624.0499878,0.081193149,
623.9000244,0.081348903,
623.75,0.081433013,
623.5999756,0.081353366,
623.4500122,0.08145456,
623.2999878,0.081510738,
623.1500244,0.08158654,
623,0.081496842,
622.8499756,0.081719659,
622.7000122,0.081731498,
622.5499878,0.081740029,
622.4000244,0.081836186,
622.25,0.081836186,
622.0999756,0.081776835,
621.9500122,0.082013302,
621.7999878,0.081965595,
621.6500244,0.082038753,
621.5,0.082195252,
621.3499756,0.082064927,
621.2000122,0.082164533,
621.0499878,0.082153901,
620.9000244,0.082308121,
620.75,0.082344353,
620.5999756,0.082366757,
620.4500122,0.082315914,
620.2999878,0.082512036,
620.1500244,0.082493477,
620,0.082533732,
619.8499756,0.082505807,
619.7000122,0.082666919,
619.5499878,0.082688116,
619.4000244,0.082927465,
619.25,0.082915962,
619.0999756,0.08286339,
618.9500122,0.082925424,
618.7999878,0.08313901,
618.6500244,0.083011068,
618.5,0.083146125,
618.3499756,0.083060771,
618.2000122,0.083204716,
618.0499878,0.083286427,
617.9000244,0.083186001,
617.75,0.083404161,
617.5999756,0.083424397,
617.4500122,0.083502069,
617.2999878,0.08356005,
617.1500244,0.083684012,
617,0.083756961,
616.8499756,0.083650805,
616.7000122,0.083640039,
616.5499878,0.083841197,
616.4000244,0.083856925,
616.25,0.084083185,
616.0999756,0.084025197,
615.9500122,0.083925352,
615.7999878,0.08405856,
615.6500244,0.084105931,
615.5,0.084221058,
615.3499756,0.084362842,
615.2000122,0.084401764,
615.0499878,0.084604181,
614.9000244,0.084603429,
614.75,0.08470428,
614.5999756,0.084658317,
614.4500122,0.084758647,
614.2999878,0.084823906,
614.1500244,0.084809966,
614,0.085041165,
613.8499756,0.085018404,
613.7000122,0.085067458,
613.5499878,0.085204981,
613.4000244,0.085117206,
613.25,0.085149363,
613.0999756,0.085434213,
612.9500122,0.085340664,
612.7999878,0.085530438,
612.6500244,0.085611008,
612.5,0.085686177,
612.3499756,0.085639641,
612.2000122,0.085767694,
612.0499878,0.085798159,
611.9000244,0.085901402,
611.75,0.08611355,
611.5999756,0.086009406,
611.4500122,0.086200424,
611.2999878,0.086310931,
611.1500244,0.086213492,
611,0.086444616,
610.8499756,0.086456552,
610.7000122,0.08659108,
610.5499878,0.086701363,
610.4000244,0.086796701,
610.25,0.086870112,
610.0999756,0.086928606,
609.9500122,0.087046482,
609.7999878,0.087115027,
609.6500244,0.087079912,
609.5,0.087270767,
609.3499756,0.087303586,
609.2000122,0.08741083,
609.0499878,0.087401241,
608.9000244,0.087655038,
608.75,0.087641485,
608.5999756,0.0877349,
608.4500122,0.087800741,
608.2999878,0.088081598,
608.1500244,0.087925412,
608,0.088110767,
607.8499756,0.088185132,
607.7000122,0.08830931,
607.5499878,0.08856187,
607.4000244,0.088434063,
607.25,0.08851105,
607.0999756,0.088647358,
606.9500122,0.08880841,
606.7999878,0.088987254,
606.6500244,0.088995829,
606.5,0.089155808,
606.3499756,0.089005552,
606.2000122,0.088995606,
606.0499878,0.089280702,
605.9000244,0.089547925,
605.75,0.089562207,
605.5999756,0.089610979,
605.4500122,0.089713797,
605.2999878,0.089895338,
605.1500244,0.089927845,
605,0.089897692,
604.8499756,0.090167008,
604.7000122,0.090275213,
604.5499878,0.090391323,
604.4000244,0.090508446,
604.25,0.090540588,
604.0999756,0.090870164,
603.9500122,0.090839818,
603.7999878,0.09085051,
603.6500244,0.091054708,
603.5,0.091106139,
603.3499756,0.091367327,
603.2000122,0.091451295,
603.0499878,0.091515936,
602.9000244,0.091641076,
602.75,0.091836594,
602.5999756,0.091824025,
602.4500122,0.091846608,
602.2999878,0.092242412,
602.1500244,0.092132017,
602,0.092267059,
601.8499756,0.092401505,
601.7000122,0.09249717,
601.5499878,0.092608809,
601.4000244,0.092751086,
601.25,0.092871986,
601.0999756,0.093027309,
600.9500122,0.093091868,
600.7999878,0.093201861,
600.6500244,0.093323275,
600.5,0.093437761,
600.3499756,0.093588501,
600.2000122,0.093831226,
600.0499878,0.093915835,
599.9000244,0.094006464,
599.75,0.094164632,
599.5999756,0.09429317,
599.4500122,0.094370171,
599.2999878,0.094646394,
599.1500244,0.094769701,
599,0.094805345,
598.8499756,0.095002942,
598.7000122,0.09500552,
598.5499878,0.095220611,
598.4000244,0.095273092,
598.25,0.095405504,
598.0999756,0.095639154,
597.9500122,0.095629409,
597.7999878,0.095805205,
597.6500244,0.095988475,
597.5,0.096145682,
597.3499756,0.096199401,
597.2000122,0.096355915,
597.0499878,0.096488595,
596.9000244,0.096653588,
596.75,0.096734405,
596.5999756,0.096963659,
596.4500122,0.097071014,
596.2999878,0.097311974,
596.1500244,0.097484924,
596,0.097547628,
595.8499756,0.097777143,
595.7000122,0.097893298,
595.5499878,0.09802372,
595.4000244,0.098201983,
595.25,0.098345846,
595.0999756,0.098432437,
594.9500122,0.09870024,
594.7999878,0.098608337,
594.6500244,0.098805785,
594.5,0.098960415,
594.3499756,0.099082999,
594.2000122,0.099422634,
594.0499878,0.099476531,
593.9000244,0.099633478,
593.75,0.099843323,
593.5999756,0.099906392,
593.4500122,0.100075655,
593.2999878,0.100139119,
593.1500244,0.100424878,
593,0.100658573,
592.8499756,0.100873254,
592.7000122,0.101211518,
592.5499878,0.101287864,
592.4000244,0.101272695,
592.25,0.101676107,
592.0999756,0.10158357,
591.9500122,0.101844885,
591.7999878,0.101972409,
591.6500244,0.102156527,
591.5,0.102298886,
591.3499756,0.102393247,
591.2000122,0.102581933,
591.0499878,0.1027916,
590.9000244,0.103115015,
590.75,0.103243999,
590.5999756,0.103479177,
590.4500122,0.103366353,
590.2999878,0.103666857,
590.1500244,0.10385979,
590,0.103958339,
589.8499756,0.104268439,
589.7000122,0.104429565,
589.5499878,0.104580507,
589.4000244,0.104801752,
589.25,0.105115026,
589.0999756,0.105419688,
588.9500122,0.105388112,
588.7999878,0.105717398,
588.6500244,0.106057011,
588.5,0.106031895,
588.3499756,0.106211528,
588.2000122,0.106294677,
588.0499878,0.106430955,
587.9000244,0.106615655,
587.75,0.106802516,
587.5999756,0.107074238,
587.4500122,0.107142448,
587.2999878,0.107380346,
587.1500244,0.10750977,
587,0.10779196,
586.8499756,0.107910194,
586.7000122,0.108178496,
586.5499878,0.108494416,
586.4000244,0.10869655,
586.25,0.109000839,
586.0999756,0.109113842,
585.9500122,0.109396182,
585.7999878,0.109490469,
585.6500244,0.109989047,
585.5,0.110020429,
585.3499756,0.110300317,
585.2000122,0.110520721,
585.0499878,0.110770397,
584.9000244,0.110916875,
584.75,0.111052707,
584.5999756,0.111195676,
584.4500122,0.111225702,
584.2999878,0.111458786,
584.1500244,0.111752763,
584,0.111815013,
583.8499756,0.112149008,
583.7000122,0.112297662,
583.5499878,0.112480745,
583.4000244,0.112710379,
583.25,0.113059476,
583.0999756,0.113275163,
582.9500122,0.113589168,
582.7999878,0.113839746,
582.6500244,0.114176281,
582.5,0.114403978,
582.3499756,0.114626341,
582.2000122,0.114933699,
582.0499878,0.115180627,
581.9000244,0.115434691,
581.75,0.115693018,
581.5999756,0.1158069,
581.4500122,0.116147332,
581.2999878,0.11613255,
581.1500244,0.116251044,
581,0.116429843,
580.8499756,0.116714098,
580.7000122,0.116751589,
580.5499878,0.116998233,
580.4000244,0.117268793,
580.25,0.117479153,
580.0999756,0.11772757,
579.9500122,0.118056633,
579.7999878,0.118442662,
579.6500244,0.118586272,
579.5,0.118876778,
579.3499756,0.11934755,
579.2000122,0.119571738,
579.0499878,0.119830258,
578.9000244,0.120070912,
578.75,0.120465428,
578.5999756,0.120660804,
578.4500122,0.120986834,
578.2999878,0.121066257,
578.1500244,0.121308856,
578,0.121507183,
577.8499756,0.121614173,
577.7000122,0.121778645,
577.5499878,0.121915966,
577.4000244,0.121884637,
577.25,0.122391418,
577.0999756,0.122572281,
576.9500122,0.122887209,
576.7999878,0.123205252,
576.6500244,0.123563677,
576.5,0.123793915,
576.3499756,0.124189109,
576.2000122,0.124355041,
576.0499878,0.124510102,
575.9000244,0.124818571,
575.75,0.12535657,
575.5999756,0.125580385,
575.4500122,0.125977412,
575.2999878,0.126113027,
575.1500244,0.126611188,
575,0.126689389,
574.8499756,0.126869902,
574.7000122,0.127003118,
574.5499878,0.127180055,
574.4000244,0.12724632,
574.25,0.127462894,
574.0999756,0.127705008,
573.9500122,0.127872884,
573.7999878,0.127879754,
573.6500244,0.128363699,
573.5,0.128665909,
573.3499756,0.129042417,
573.2000122,0.129446432,
573.0499878,0.129844815,
572.9000244,0.1300264,
572.75,0.130573049,
572.5999756,0.130999699,
572.4500122,0.131296247,
572.2999878,0.131809473,
572.1500244,0.132021949,
572,0.132305577,
571.8499756,0.132497147,
571.7000122,0.132686287,
571.5499878,0.132867053,
571.4000244,0.132961795,
571.25,0.13307865,
571.0999756,0.13336961,
570.9500122,0.133439645,
570.7999878,0.133672431,
570.6500244,0.133873418,
570.5,0.134280726,
570.3499756,0.134414002,
570.2000122,0.135003477,
570.0499878,0.135125265,
569.9000244,0.135552198,
569.75,0.136159822,
569.5999756,0.136527658,
569.4500122,0.136852413,
569.2999878,0.137199983,
569.1500244,0.137579709,
569,0.137812063,
568.8499756,0.138198689,
568.7000122,0.138500243,
568.5499878,0.138567194,
568.4000244,0.138863787,
568.25,0.139125273,
568.0999756,0.139017314,
567.9500122,0.139223531,
567.7999878,0.139256284,
567.6500244,0.139638275,
567.5,0.139726043,
567.3499756,0.140204385,
567.2000122,0.140331283,
567.0499878,0.140799552,
566.9000244,0.141417846,
566.75,0.141712442,
566.5999756,0.142236263,
566.4500122,0.142858729,
566.2999878,0.143028274,
566.1500244,0.143514499,
566,0.143921137,
565.8499756,0.144040033,
565.7000122,0.144371033,
565.5499878,0.144433409,
565.4000244,0.144711018,
565.25,0.144879282,
565.0999756,0.144884154,
564.9500122,0.145122141,
564.7999878,0.145445213,
564.6500244,0.145336285,
564.5,0.145739451,
564.3499756,0.145957336,
564.2000122,0.146525875,
564.0499878,0.146762982,
563.9000244,0.147294894,
563.75,0.14757669,
563.5999756,0.14804709,
563.4500122,0.148521364,
563.2999878,0.148914218,
563.1500244,0.149320006,
563,0.149668649,
562.8499756,0.149956912,
562.7000122,0.150322825,
562.5499878,0.150420681,
562.4000244,0.150658563,
562.25,0.150896773,
562.0999756,0.15090172,
561.9500122,0.151047647,
561.7999878,0.15137212,
561.6500244,0.151432201,
561.5,0.151895642,
561.3499756,0.15205726,
561.2000122,0.152419254,
561.0499878,0.152867734,
560.9000244,0.153229266,
560.75,0.153607562,
560.5999756,0.153912187,
560.4500122,0.154448241,
560.2999878,0.154868975,
560.1500244,0.15512827,
560,0.155649751,
559.8499756,0.155853242,
559.7000122,0.156194076,
559.5499878,0.156466067,
559.4000244,0.156498253,
559.25,0.156870917,
559.0999756,0.156962931,
558.9500122,0.157015294,
558.7999878,0.157522708,
558.6500244,0.157550544,
558.5,0.157871306,
558.3499756,0.158063367,
558.2000122,0.15851526,
558.0499878,0.15878278,
557.9000244,0.159149185,
557.75,0.159509808,
557.5999756,0.160008147,
557.4500122,0.160561115,
557.2999878,0.16094245,
557.1500244,0.161369234,
557,0.161702633,
556.8499756,0.161770254,
556.7000122,0.16208835,
556.5499878,0.162337586,
556.4000244,0.162696153,
556.25,0.162865207,
556.0999756,0.162829161,
555.9500122,0.163211212,
555.7999878,0.163250864,
555.6500244,0.163565263,
555.5,0.163812548,
555.3499756,0.164078519,
555.2000122,0.164510697,
555.0499878,0.164956257,
554.9000244,0.165299624,
554.75,0.165889978,
554.5999756,0.166529223,
554.4500122,0.166724816,
554.2999878,0.167083681,
554.1500244,0.167557672,
554,0.167816117,
553.8499756,0.168138519,
553.7000122,0.16828914,
553.5499878,0.168442786,
553.4000244,0.168675616,
553.25,0.168740392,
553.0999756,0.16898793,
552.9500122,0.16919452,
552.7999878,0.169434056,
552.6500244,0.169702649,
552.5,0.170141771,
552.3499756,0.170474917,
552.2000122,0.171128169,
552.0499878,0.171390206,
551.9000244,0.171965957,
551.75,0.172520772,
551.5999756,0.172860339,
551.4500122,0.173189417,
551.2999878,0.173491597,
551.1500244,0.173669875,
551,0.173965454,
550.8499756,0.174010694,
550.7000122,0.174146816,
550.5499878,0.174287081,
550.4000244,0.174546972,
550.25,0.174793541,
550.0999756,0.174857661,
549.9500122,0.175430611,
549.7999878,0.175792873,
549.6500244,0.176239327,
549.5,0.176604793,
549.3499756,0.177087531,
549.2000122,0.177509725,
549.0499878,0.178038761,
548.9000244,0.178137764,
548.75,0.178553879,
548.5999756,0.178772301,
548.4500122,0.178780973,
548.2999878,0.17907238,
548.1500244,0.179057047,
548,0.179269388,
547.8499756,0.179397345,
547.7000122,0.179741979,
547.5499878,0.179833695,
547.4000244,0.180430129,
547.25,0.180768713,
547.0999756,0.181089968,
546.9500122,0.181530148,
546.7999878,0.182084262,
546.6500244,0.182311326,
546.5,0.182693481,
546.3499756,0.182869196,
546.2000122,0.183241546,
546.0499878,0.183104202,
545.9000244,0.183320418,
545.75,0.18350251,
545.5999756,0.183744803,
545.4500122,0.183816746,
545.2999878,0.184015915,
545.1500244,0.184264526,
545,0.184700176,
544.8499756,0.18495892,
544.7000122,0.185317114,
544.5499878,0.185449421,
544.4000244,0.185925692,
544.25,0.186134815,
544.0999756,0.186461821,
543.9500122,0.186984837,
543.7999878,0.186902747,
543.6500244,0.187182531,
543.5,0.187361091,
543.3499756,0.187437579,
543.2000122,0.1876432,
543.0499878,0.1878791,
542.9000244,0.188136384,
542.75,0.188341558,
542.5999756,0.188566148,
542.4500122,0.188699201,
542.2999878,0.188970015,
542.1500244,0.189273953,
542,0.189581379,
541.8499756,0.189800844,
541.7000122,0.190079689,
541.5499878,0.190234229,
541.4000244,0.190593347,
541.25,0.190465421,
541.0999756,0.190712735,
540.9500122,0.190889537,
540.7999878,0.191316888,
540.6500244,0.191263765,
540.5,0.191383779,
540.3499756,0.19142729,
540.2000122,0.191741005,
540.0499878,0.191962123,
539.9000244,0.192269206,
539.75,0.192360938,
539.5999756,0.192532823,
539.4500122,0.192659706,
539.2999878,0.192857102,
539.1500244,0.193076089,
539,0.193204179,
538.8499756,0.193402335,
538.7000122,0.19376944,
538.5499878,0.193589717,
538.4000244,0.19373332,
538.25,0.193875611,
538.0999756,0.194062546,
537.9500122,0.194098517,
537.7999878,0.194302991,
537.6500244,0.194346562,
537.5,0.194439799,
537.3499756,0.194739834,
537.2000122,0.19486028,
537.0499878,0.195154041,
536.9000244,0.195186377,
536.75,0.195483401,
536.5999756,0.19565481,
536.4500122,0.195753202,
536.2999878,0.195642307,
536.1500244,0.196025044,
536,0.195947558,
535.8499756,0.196090415,
535.7000122,0.196264193,
535.5499878,0.196343258,
535.4000244,0.196476802,
535.25,0.196715713,
535.0999756,0.19686538,
534.9500122,0.197058886,
534.7999878,0.197250575,
534.6500244,0.197571129,
534.5,0.197534338,
534.3499756,0.197610617,
534.2000122,0.197850034,
534.0499878,0.197865263,
533.9000244,0.198041946,
533.75,0.198206574,
533.5999756,0.198384821,
533.4500122,0.19863902,
533.2999878,0.198866054,
533.1500244,0.198984534,
533,0.199192107,
532.8499756,0.199298382,
532.7000122,0.199479759,
532.5499878,0.199584216,
532.4000244,0.199830785,
532.25,0.199882418,
532.0999756,0.200113803,
531.9500122,0.200305417,
531.7999878,0.20055148,
531.6500244,0.200678885,
531.5,0.200937837,
531.3499756,0.201205209,
531.2000122,0.201208547,
531.0499878,0.201407954,
530.9000244,0.201288939,
530.75,0.201591939,
530.5999756,0.201722071,
530.4500122,0.201962903,
530.2999878,0.202001512,
530.1500244,0.202388749,
530,0.202544957,
529.8499756,0.202698663,
529.7000122,0.202924907,
529.5499878,0.20300521,
529.4000244,0.20309788,
529.25,0.203187391,
529.0999756,0.203133255,
528.9500122,0.203225702,
528.7999878,0.203318834,
528.6500244,0.203429818,
528.5,0.20362553,
528.3499756,0.203920603,
528.2000122,0.204448387,
528.0499878,0.204271227,
527.9000244,0.204345346,
527.75,0.204414189,
527.5999756,0.204482004,
527.4500122,0.204493195,
527.2999878,0.204474539,
527.1500244,0.204359233,
527,0.204534024,
526.8499756,0.204638094,
526.7000122,0.204819173,
526.5499878,0.205198348,
526.4000244,0.205233634,
526.25,0.205322087,
526.0999756,0.205253646,
525.9500122,0.205374628,
525.7999878,0.205168247,
525.6500244,0.205294758,
525.5,0.205161601,
525.3499756,0.205263823,
525.2000122,0.205358848,
525.0499878,0.205449402,
524.9000244,0.205500931,
524.75,0.205715835,
524.5999756,0.205685526,
524.4500122,0.205861896,
524.2999878,0.205702528,
524.1500244,0.205575511,
524,0.20561412,
523.8499756,0.205645457,
523.7000122,0.205635727,
523.5499878,0.205449566,
523.4000244,0.205628291,
523.25,0.205738694,
523.0999756,0.205786541,
522.9500122,0.205715835,
522.7999878,0.20584859,
522.6500244,0.205729842,
522.5,0.205614656,
522.3499756,0.205731958,
522.2000122,0.205556065,
522.0499878,0.205366075,
521.9000244,0.205462366,
521.75,0.205534414,
521.5999756,0.205331057,
521.4500122,0.205470175,
521.2999878,0.205518171,
521.1500244,0.205547422,
521,0.205283389,
520.8499756,0.20524253,
520.7000122,0.205121622,
520.5499878,0.205101281,
520.4000244,0.204978585,
520.25,0.204921946,
520.0999756,0.204949752,
519.9500122,0.204948381,
519.7999878,0.204837307,
519.6500244,0.204951942,
519.5,0.204745337,
519.3499756,0.204704121,
519.2000122,0.204432547,
519.0499878,0.204460159,
518.9000244,0.204417095,
518.75,0.20433189,
518.5999756,0.204320535,
518.4500122,0.204260528,
518.2999878,0.204053342,
518.1500244,0.204091951,
518,0.204160571,
517.8499756,0.204118043,
517.7000122,0.204076946,
517.5499878,0.20419839,
517.4000244,0.204030618,
517.25,0.203767657,
517.0999756,0.203825191,
516.9500122,0.203677535,
516.7999878,0.203667358,
516.6500244,0.203443423,
516.5,0.203588799,
516.3499756,0.203366011,
516.2000122,0.203348279,
516.0499878,0.202974677,
515.9000244,0.203047812,
515.75,0.203009099,
515.5999756,0.202834547,
515.4500122,0.202993721,
515.2999878,0.20267579,
515.1500244,0.202658579,
515,0.2026131,
514.8499756,0.202508315,
514.7000122,0.202403262,
514.5499878,0.202297092,
514.4000244,0.202195272,
514.25,0.202065736,
514.0999756,0.202024266,
513.9500122,0.202003002,
513.7999878,0.201790452,
513.6500244,0.201758206,
513.5,0.201540515,
513.3499756,0.20159696,
513.2000122,0.201296225,
513.0499878,0.201209366,
512.9000244,0.201172546,
512.75,0.201092422,
512.5999756,0.201018885,
512.4500122,0.2008432,
512.2999878,0.200633973,
512.1500244,0.200483471,
512,0.200401202,
511.8500061,0.200299054,
511.6999817,0.199954286,
511.5499878,0.200038105,
511.3999939,0.199910387,
511.25,0.199581757,
511.1000061,0.199513525,
510.9499817,0.199464515,
510.7999878,0.199180961,
510.6499939,0.199046463,
510.5,0.198968083,
510.3500061,0.198647603,
510.1999817,0.198585033,
510.0499878,0.19823353,
509.8999939,0.198330626,
509.75,0.198042437,
509.6000061,0.197787285,
509.4499817,0.197744191,
509.2999878,0.197408259,
509.1499939,0.197333425,
509,0.197006285,
508.8500061,0.196983635,
508.6999817,0.19668375,
508.5499878,0.196477622,
508.3999939,0.196272031,
508.25,0.196064964,
508.1000061,0.195916876,
507.9499817,0.195686251,
507.7999878,0.195627436,
507.6499939,0.195238426,
507.5,0.195070311,
507.3500061,0.194888011,
507.1999817,0.194594681,
507.0499878,0.194423556,
506.8999939,0.194350943,
506.75,0.194020003,
506.6000061,0.193752289,
506.4499817,0.193590313,
506.2999878,0.193526939,
506.1499939,0.193211943,
506,0.192781717,
505.8500061,0.192757994,
505.6999817,0.192412302,
505.5499878,0.192178607,
505.3999939,0.191850498,
505.25,0.191881463,
505.1000061,0.191773236,
504.9499817,0.191261843,
504.7999878,0.190982804,
504.6499939,0.190943658,
504.5,0.190610975,
504.3500061,0.190386042,
504.1999817,0.190143168,
504.0499878,0.189751312,
503.8999939,0.189694822,
503.75,0.189413622,
503.6000061,0.189078748,
503.4499817,0.189046577,
503.2999878,0.188632891,
503.1499939,0.188735411,
503,0.188082025,
502.8500061,0.187919274,
502.6999817,0.18767336,
502.5499878,0.187412426,
502.3999939,0.187093034,
502.25,0.186874211,
502.1000061,0.18679449,
501.9499817,0.186485246,
501.7999878,0.186094806,
501.6499939,0.18590492,
501.5,0.185511664,
501.3500061,0.185379431,
501.1999817,0.185149849,
501.0499878,0.18478094,
500.8999939,0.184496284,
500.75,0.184184611,
500.6000061,0.18409726,
500.4499817,0.183620215,
500.2999878,0.183462575,
500.1499939,0.183257222,
500,0.182847306,
,,
,,
sample5,,
sample5,,
Collection Time: 14/04/2020 1:43:15 PM,,
Operator Name  :,,
Scan Software Version: 3.00(339),,
Parameter List :,,
Instrument                        Cary 100,,
Instrument Version                10.00,,
Start (nm)                        650.00,,
Stop (nm)                         500.00,,
X Mode                            Nanometers,,
Y Mode                            Abs,,
UV-Vis Scan Rate (nm/min)         45.000,,
UV-Vis Data Interval (nm)         0.150,,
UV-Vis Ave. Time (sec)            0.200,,
UV-Vis SBW (nm)                   4.0,,
Beam Mode                         Double,,
Signal-to-noise Mode              Off,,
UV Source                         On,,
Vis Source                        On,,
Source Changeover (nm)            350.00,,
Baseline Correction               Off,,
Cycle Mode                        Off,,
Comments,,
Method Log     :,,
Method Name    :,,
Date/Time stamp: 14/04/2020 11:56:13 AM,,
Method Modifications:,,
UVVIS SAT Changed: 14/04/2020 11:57:33 AM, Old: 0.100, New: 0.200
Common SAT Changed: 14/04/2020 11:57:33 AM, Old: 0.100, New: 0.200
X Start nm Changed: 14/04/2020 11:57:44 AM, Old: 800.00, New: 700.00
X Stop nm Changed: 14/04/2020 11:57:44 AM, Old: 200.00, New: 400.00
Common Interval nm Changed: 14/04/2020 11:57:44 AM, Old:    1.000, New:    0.150
SBW Changed: 14/04/2020 11:58:25 AM, Old:2.0, New:1.0
Common Slit Width Changed: 14/04/2020 11:58:25 AM, Old:2.0, New:1.0
Saved as C:\Documents and Settings\Spec Lab\My Documents\2011\Majid I2\Survey SBW1 SR45nm.BSW,,
X Start nm Changed: 14/04/2020 1:28:30 PM, Old: 700.00, New: 650.00
X Stop nm Changed: 14/04/2020 1:28:30 PM, Old: 400.00, New: 500.00
Saved as C:\Documents and Settings\Spec Lab\My Documents\2011\Majid I2\SBW1 SR45nm.BSW,,
SBW Changed: 14/04/2020 1:35:30 PM, Old:1.0, New:2.0
Common Slit Width Changed: 14/04/2020 1:35:30 PM, Old:1.0, New:2.0
SBW Changed: 14/04/2020 1:41:03 PM, Old:2.0, New:4.0
Common Slit Width Changed: 14/04/2020 1:41:03 PM, Old:2.0, New:4.0
End Method Modifications,,
<SBW (nm)> ,4,
<Energy> ,86,
<Current Wavelength> ,500,
